자치구,동,합계,9세미만,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80세이상,위도,경도
강북구,우이동,994,5,21,37,41,77,154,229,265,165,37.6351934,127.0191862
강북구,인수동,1791,12,35,77,96,135,305,384,444,303,37.6825072,127.0480747
도봉구,쌍문1동,1123,15,21,45,54,81,181,269,283,174,37.6579969,127.0388217
도봉구,쌍문2동,949,12,17,36,41,80,160,225,219,159,37.6488868,127.027851
도봉구,쌍문3동,828,7,13,45,40,62,136,185,212,128,37.6564409,127.0284897
도봉구,쌍문4동,688,7,20,33,33,49,120,143,144,139,37.6641352,127.0406833
도봉구,방학1동,1502,12,30,59,56,121,268,342,403,211,37.6683016,127.0350997
도봉구,방학2동,1234,17,27,59,44,133,241,288,269,156,37.6591356,127.0279067
도봉구,방학3동,1040,15,28,47,38,85,159,227,224,217,37.6483312,127.0437665
도봉구,창1동,1013,7,17,41,60,88,129,219,260,192,37.6412489,127.0354345
도봉구,창2동,1329,15,22,48,68,124,233,306,323,190,37.6379994,127.0428778
도봉구,창3동,784,7,26,28,34,59,142,166,216,106,37.6521919,127.0515706
도봉구,창4동,1001,12,22,51,43,76,157,206,219,215,37.6519147,127.0390998
도봉구,창5동,997,19,26,53,49,66,165,225,220,174,37.6786055,127.0433486
도봉구,도봉1동,1481,10,18,64,71,139,235,342,358,244,37.6695786,127.0464596
도봉구,도봉2동,1467,14,22,43,76,103,204,366,385,254,37.6209907,127.0677355
노원구,월계1동,1026,6,24,43,32,93,143,217,280,188,37.6324443,127.0507382
노원구,월계2동,2298,21,41,68,101,217,412,622,504,312,37.620919,127.0692367
노원구,월계3동,1962,11,22,58,87,150,295,551,490,298,37.6211412,127.0832634
노원구,공릉2동,1353,23,46,61,60,121,210,302,302,228,37.6405557,127.0725689
노원구,하계1동,2126,8,46,117,124,186,393,535,420,297,37.6320006,127.0679316
노원구,하계2동,993,8,28,47,44,79,169,206,241,171,37.6514398,127.0831273
노원구,중계본동,810,7,31,42,34,95,128,168,170,135,37.6525543,127.077485
노원구,중계1동,729,12,42,31,26,95,129,137,147,110,37.6587195,127.0779568
노원구,중계4동,1529,5,37,44,45,105,292,393,381,227,37.6796616,127.0549865
노원구,상계1동,1906,24,53,85,137,168,267,433,436,303,37.6587754,127.0684857
노원구,상계2동,891,11,32,50,51,90,143,184,190,140,37.6628859,127.0693465
노원구,상계5동,1312,8,26,52,66,122,209,285,315,229,37.6666901,127.0515152
노원구,상계8동,711,11,14,29,68,87,103,127,158,114,37.6644966,127.063792
노원구,상계9동,760,18,18,37,33,73,117,176,150,138,37.6612189,127.0601815
노원구,상계10동,538,7,13,42,34,49,76,116,103,98,37.6637749,127.0753459
노원구,상계3.4동,1647,10,31,41,84,148,263,399,418,253,37.6530259,127.0581539
노원구,상계6.7동,1282,26,38,55,71,124,226,261,244,237,37.6406105,127.0651536
노원구,중계2.3동,3205,15,53,127,117,281,551,803,784,474,37.6248346,127.0737922
노원구,공릉1동,2234,18,39,70,103,174,395,604,523,308,37.6190488,126.9283793
은평구,녹번동,1635,15,29,63,75,136,254,349,420,294,37.6103068,126.9319455
은평구,불광1동,1701,17,39,63,65,151,228,357,426,355,37.623527,126.9167796
은평구,갈현1동,1067,10,26,45,43,100,199,252,231,161,37.6185555,126.9157518
은평구,갈현2동,1235,15,21,65,48,114,207,260,314,191,37.6117223,126.9103085
은평구,구산동,2248,30,77,104,128,276,449,493,435,256,37.6141112,126.9208904
은평구,대조동,1251,9,19,71,55,112,177,276,300,232,37.6006409,126.9267232
은평구,응암1동,1281,27,36,38,72,108,179,260,338,223,37.5945306,126.9231128
은평구,응암2동,942,32,34,34,40,95,134,203,223,147,37.598002,126.9121697
은평구,신사1동,1236,10,26,73,76,118,204,248,300,181,37.5918918,126.9124479
은평구,신사2동,970,13,31,49,41,73,154,213,241,155,37.5849961,126.907314
은평구,증산동,698,4,13,26,41,54,105,173,176,106,37.5840042,126.8955434
은평구,수색동,564,4,19,31,22,40,84,127,150,87,37.6413466,126.9421897
은평구,진관동,1950,39,77,77,92,193,263,376,463,370,37.6215274,126.9276956
은평구,불광2동,1472,15,28,51,66,122,238,351,355,246,37.5922528,126.9157525
은평구,응암3동,1342,11,27,53,63,99,219,286,345,239,37.6044517,126.9169535
은평구,역촌동,2181,40,48,91,122,196,350,478,534,322,37.5782039,126.9386097
서대문구,천연동,755,11,20,25,23,42,114,166,185,169,37.5877538,126.9451388
서대문구,홍제1동,945,12,23,44,38,63,148,210,217,190,37.5939752,126.9495272
서대문구,홍제3동,830,7,10,36,29,65,116,161,231,175,37.5859211,126.9491105
서대문구,홍제2동,608,6,17,24,20,40,84,123,175,119,37.5931972,126.9438888
