자치구,동,합계,9세미만,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80세이상,위도,경도
관악구,난향동,708,14,19,21,28,74,118,150,174,110,37.4810442,126.9090343
관악구,조원동,704,9,13,22,32,65,118,175,168,102,37.470546,126.9368929
관악구,대학동,732,7,14,55,53,76,117,155,163,92,37.4869051,126.94142
관악구,은천동,1687,23,34,64,81,156,281,390,425,233,37.4894329,126.9481693
관악구,성현동,1429,17,23,55,54,133,251,330,341,225,37.4791001,126.9416142
관악구,청룡동,1068,13,18,54,60,92,161,227,277,166,37.4693789,126.9202006
관악구,난곡동,1600,23,33,65,62,149,291,370,399,208,37.470074,126.9329493
관악구,삼성동,1542,12,21,54,67,128,225,339,422,274,37.476128,126.9156168
관악구,미성동,1430,11,34,65,59,123,207,353,392,186,37.483688,127.0329245
서초구,서초1동,488,7,16,20,33,37,68,107,97,103,37.492017,127.0247167
서초구,서초2동,369,9,12,16,27,41,57,73,71,63,37.4836008,127.0124412
서초구,서초3동,731,13,22,53,58,51,90,146,162,136,37.5026266,127.0221057
서초구,서초4동,475,21,24,18,26,58,53,75,110,90,37.514847,127.0143281
서초구,잠원동,540,11,21,30,28,47,69,100,129,105,37.5031833,127.0079167
서초구,반포본동,183,5,9,13,7,17,27,27,39,39,37.506043,127.0126625
서초구,반포1동,562,11,15,17,41,55,86,120,122,95,37.5044869,126.9944423
서초구,반포2동,245,5,10,12,8,30,22,37,83,38,37.5119312,127.0055521
서초구,반포3동,352,9,16,21,27,30,37,51,92,69,37.4975719,127.000386
서초구,반포4동,347,7,16,15,17,37,44,63,64,84,37.4941271,126.9887762
서초구,방배본동,460,3,14,15,27,50,87,88,91,85,37.4832955,126.9944149
서초구,방배1동,479,9,8,16,31,47,57,110,119,82,37.4798788,126.9854989
서초구,방배2동,681,9,14,35,26,56,95,163,175,108,37.480185,126.9990806
서초구,방배3동,555,7,14,28,35,48,76,125,127,95,37.4895447,126.9912761
서초구,방배4동,593,11,14,16,29,56,96,112,159,100,37.4844071,127.0361048
서초구,양재1동,1955,38,59,79,97,162,305,508,434,273,37.4707419,127.0413547
서초구,양재2동,673,20,16,26,45,81,104,153,144,84,37.4617711,127.05116
서초구,내곡동,854,28,53,66,59,75,102,168,175,128,37.5172363,127.0473248
강남구,신사동,403,4,16,9,14,29,57,76,97,101,37.5115147,127.0283828
강남구,논현1동,574,8,14,34,52,76,68,119,131,72,37.5135304,127.0315341
강남구,논현2동,513,4,11,24,33,56,69,96,134,86,37.5117931,127.0553802
강남구,삼성1동,289,5,11,14,17,23,50,64,61,44,37.511098,127.0459091
강남구,삼성2동,544,9,22,25,35,55,85,98,126,89,37.4932114,127.0567416
강남구,대치1동,278,5,17,18,11,35,45,36,52,59,37.4994914,127.0610527
강남구,대치4동,398,2,16,20,36,55,72,60,84,53,37.4999072,127.0373932
강남구,역삼1동,765,5,8,32,96,103,119,154,143,105,37.4959889,127.0467425
강남구,역삼2동,638,11,30,26,47,81,102,110,149,82,37.4898434,127.0438136
강남구,도곡1동,390,7,20,23,25,45,56,61,78,75,37.4824625,127.0430492
강남구,도곡2동,503,17,22,21,24,56,61,71,119,112,37.4789643,127.0609282
강남구,개포1동,221,4,4,6,7,16,33,52,61,38,37.4788251,127.0515205
강남구,개포4동,591,18,23,38,36,59,92,134,126,65,37.4810133,127.0801089
강남구,일원본동,718,30,54,46,36,78,126,169,90,89,37.4917961,127.0879606
강남구,일원1동,1089,15,33,37,62,67,176,298,267,134,37.4921008,127.073629
강남구,일원2동,1164,19,29,44,48,81,155,337,304,147,37.4889628,127.105154
강남구,수서동,2150,5,12,52,69,137,380,738,499,258,37.4692712,127.1073203
강남구,세곡동,1967,43,100,107,87,171,298,378,435,348,37.531684,127.0302926
강남구,압구정동,486,5,14,17,25,45,57,79,116,128,37.5231998,127.0486655
강남구,청담동,510,11,21,28,32,48,65,97,109,99,37.5021274,127.0641296
강남구,대치2동,585,9,29,34,35,59,85,116,124,94,37.4896011,127.0687685
강남구,개포2동,423,5,11,24,33,25,74,102,77,72,37.5280898,127.0355331
강남구,기타,1,0,0,0,1,0,0,0,0,0,37.5144321,127.0888491
송파구,풍납1동,670,9,24,28,28,55,88,156,177,105,37.5286251,127.1164568
송파구,풍납2동,828,13,24,41,38,77,130,201,185,119,37.4970185,127.143372
송파구,거여1동,625,4,16,20,57,55,93,149,140,91,37.493491,127.1468718
송파구,거여2동,1011,11,17,43,82,114,186,221,191,146,37.4959357,127.1498994
송파구,마천1동,1229,14,22,55,52,91,212,295,296,192,37.4968796,127.1485105
송파구,마천2동,1229,7,26,50,49,91,244,267,313,182,37.5109334,127.1238455
송파구,방이1동,438,4,19,25,31,42,67,99,82,69,37.5145158,127.1144024
송파구,방이2동,770,7,12,32,51,82,136,178,169,103,37.5154331,127.1343724
송파구,오륜동,293,4,9,21,17,28,31,52,55,76,37.5029895,127.1278734
송파구,오금동,1427,25,39,90,85,117,237,329,281,224,37.5058778,127.1096251
송파구,송파1동,695,6,9,35,59,68,123,154,160,81,37.5022674,127.1166805
송파구,송파2동,523,11,9,36,40,46,80,113,103,85,37.503517,127.1035697
송파구,석촌동,1019,15,18,47,60,127,189,219,208,136,37.5027949,127.0925158
송파구,삼전동,935,13,23,31,68,97,174,227,199,103,37.4954903,127.1217072
송파구,가락본동,767,7,22,32,51,63,136,202,153,101,37.4964619,127.1055147
송파구,가락1동,532,19,13,34,38,50,74,107,126,71,37.498712,127.1266796
송파구,가락2동,929,11,13,61,65,87,158,211,194,129,37.490047,127.1241801
송파구,문정1동,584,10,15,41,51,58,78,116,131,84,37.4898248,127.1108474
송파구,문정2동,519,12,7,37,58,43,61,103,89,109,37.5061273,127.0842945
송파구,잠실본동,800,8,14,35,64,71,145,192,170,101,37.5200285,127.1084342
송파구,잠실4동,437,19,19,19,28,53,59,79,96,65,37.5179042,127.1007366
송파구,잠실6동,371,8,15,22,23,36,45,72,76,74,37.5087379,127.0770452
송파구,잠실7동,211,2,5,12,4,10,23,41,54,60,37.5156676,127.0856413
송파구,잠실2동,569,18,33,29,26,72,64,119,126,82,37.5071834,127.0941266
송파구,잠실3동,691,10,25,33,34,72,73,154,173,117,37.4773867,127.1285282
송파구,장지동,1343,31,64,74,88,124,232,313,253,164,37.4811919,127.1441343
송파구,위례동,841,44,42,42,60,119,147,149,140,98,37.5364293,127.1231762
강동구,강일동,1700,19,73,90,68,158,298,358,366,270,37.5511064,127.1646653
강동구,상일동,926,30,47,57,58,95,126,206,196,111,37.5497341,127.1459813
강동구,명일1동,886,16,20,63,45,82,132,203,189,136,37.5463186,127.1512869
강동구,명일2동,450,7,14,26,29,50,49,106,93,76,37.558983,127.1489257
강동구,고덕1동,718,30,29,37,44,77,115,148,125,113,37.5604551,127.1643122
강동구,고덕2동,811,21,18,49,59,93,163,185,134,89,37.5517335,127.1272331
강동구,암사2동,514,9,16,30,21,39,80,107,127,85,37.5552053,127.1382039
강동구,암사3동,560,17,45,32,34,40,78,121,121,72,37.5450685,127.1367043
강동구,천호1동,1441,22,30,67,74,142,231,366,335,174,37.539763,127.1297892
강동구,천호3동,1314,8,17,46,96,114,220,328,316,169,37.530375,127.1223451
강동구,성내1동,662,13,21,26,38,61,120,142,151,90,37.5323199,127.1294284
강동구,성내2동,1053,8,17,39,59,82,177,269,260,142,37.5259868,127.1329002
강동구,성내3동,886,17,13,43,45,87,141,219,208,113,37.5234321,127.1366779
강동구,둔촌1동,3,0,0,0,1,0,0,2,0,0,37.53332,127.1419272
강동구,둔촌2동,971,22,30,43,46,79,158,216,228,149,37.5514287,127.1325655
강동구,암사1동,1682,15,47,80,81,158,307,386,403,205,37.543462,127.1231788
강동구,천호2동,1735,22,31,76,95,158,310,405,393,245,37.5392074,127.1461206
강동구,길동,1995,20,41,84,120,192,324,496,453,265,37.53889368,127.1435743
