자치구,동,합계,지체,뇌병변,시각,청각,지적장애,자폐성,정신장애,지적+자폐+정신,위도,경도
서초구,방배본동,460,189,54,58,57,30,13,18,61,37.4832955,126.9944149
서초구,방배1동,479,198,47,61,69,22,7,17,46,37.4798788,126.9854989
서초구,방배2동,681,300,76,77,96,41,9,19,69,37.480185,126.9990806
서초구,방배3동,555,225,53,60,76,42,16,20,78,37.4895447,126.9912761
서초구,방배4동,593,230,67,101,82,29,9,17,55,37.4844071,127.0361048
서초구,양재1동,1955,830,220,191,263,160,42,100,302,37.4707419,127.0413547
서초구,양재2동,673,268,81,75,103,47,13,22,82,37.4617711,127.05116
서초구,내곡동,854,313,82,101,109,123,33,30,186,37.524124,127.022883
강남구,신사동,403,181,49,32,53,18,11,7,36,37.5115147,127.0283828
강남구,논현1동,574,245,65,80,60,50,8,17,75,37.5135304,127.0315341
강남구,논현2동,513,207,52,59,84,31,11,9,51,37.5117931,127.0553802
강남구,삼성1동,289,128,42,23,36,15,12,6,33,37.511098,127.0459091
강남구,삼성2동,544,206,72,70,72,30,24,23,77,37.4932114,127.0567416
강남구,대치1동,278,100,36,30,37,15,21,5,41,37.4994914,127.0610527
강남구,대치4동,398,172,40,42,49,23,9,13,45,37.4999072,127.0373932
강남구,역삼1동,765,363,81,80,100,42,13,17,72,37.4959889,127.0467425
강남구,역삼2동,638,263,74,72,85,31,18,23,72,37.4898434,127.0438136
강남구,도곡1동,390,159,53,36,54,31,16,9,56,37.4824625,127.0430492
강남구,도곡2동,503,213,80,47,61,24,17,7,48,37.4789643,127.0609282
강남구,개포1동,221,98,27,21,31,14,6,6,26,37.4788251,127.0515205
강남구,개포4동,591,212,74,66,77,53,25,26,104,37.4810133,127.0801089
강남구,일원본동,718,205,56,41,63,67,87,141,295,37.4917961,127.0879606
강남구,일원1동,1089,418,122,108,132,73,42,99,214,37.4921008,127.073629
강남구,일원2동,1164,423,136,119,180,92,46,86,224,37.4889628,127.105154
강남구,수서동,2150,874,215,209,237,156,33,229,418,37.4692712,127.1073203
강남구,세곡동,1967,808,227,205,271,141,91,73,305,37.531684,127.0302926
