시설명,시설코드,시설종류명(시설유형),시설종류상세명,시설주소,위도,경도
도봉주간보호센터,C1822,(장애인) 장애인주간보호시설,장애인지역사회재활시설,서울특별시 도봉구 도당로 532층 (방학동),37.5001133,127.1019601
마라제3공동생활가정,C1831,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 송파구 가락로5길 7-11301호,37.4844911,127.1289611
마라제1공동생활가정,C1832,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 송파구 송이로34길 43-14층,37.4844911,127.1289611
마라제2공동생활가정,C1833,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 송파구 송이로34길 43-15층 (문정동),37.5035989,127.0369205
충현보호작업장,C1855,(장애인) 장애인보호작업장,장애인직업재활시설,서울특별시 강남구 논현로98길 16,37.4972964,127.1518434
THE채움,C1863,(장애인) 장애인주간보호시설,장애인지역사회재활시설,서울특별시 송파구 마천로51길 282층,37.354606,127.7163026
라파엘의집,C1866,(장애인) 중증장애인거주시설,장애인거주시설,경기도 여주시 북내면 당전로 552 ,37.3465514,127.7343004
라파엘직업재활센터,C1870,(장애인) 장애인보호작업장,장애인직업재활시설,경기도 여주시 강천면 원양1로 907 ,37.5496921,126.9797563
자립홈,C1872,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 용산구 후암로28라길 9예원빌라 101호 103호 203호,37.1316505,127.3726934
효정비전타운,C1873,(장애인) 중증장애인거주시설,장애인거주시설,경기도 용인시 처인구 백암면 삼백로 648효정비전타운 ,37.6363909,127.0157801
헬렌켈러의집,C1875,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 강북구 삼양로91가길 8-0JS홈타운 2동 501호,37.517398,127.0406221
강남구수어통역센터,C1878,(장애인) 수어통역센터,장애인지역사회재활시설,서울특별시 강남구 학동로 343(학동) 포바강남타워 지하,37.5074776,127.0270781
논현공동생활가정,C1880,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 강남구 강남대로120길 52401호 402호 (논현동),37.4925076,127.0751123
하상주간보호센터,C1882,(장애인) 장애인주간보호시설,장애인지역사회재활시설,서울특별시 강남구 개포로 613 (개포동),37.5505256,126.9219611
라온홈,C1886,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 마포구 잔다리로9길 21105동 501호,37.5428039,126.9601605
한벗장애인주간보호시설,C1888,(장애인) 장애인주간보호시설,장애인지역사회재활시설,서울특별시 용산구 효창원로69길 42-3한벗회관 2층,37.55013,126.9799974
행복이가득한집,C1891,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 용산구 후암로28라길 9201호 (후암동 예원빌라),37.5401472,126.8678144
임마누엘목동공동체,C1892,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 양천구 목동중앙본로17길 29401호 (목동청송하이츠빌라) ,37.4814479,126.9061256
실로암배움울타리,C1894,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 관악구 조원로12길 66-02층,37.5467049,127.1672451
사랑쉼터의집,C1897,(장애인) 장애유형별거주시설,장애인거주시설,서울특별시 강동구 상암로79길 24,37.5275866,126.8355494
베다니장애인주간보호시설 ,C1917,(장애인) 장애인주간보호시설,장애인지역사회재활시설,서울특별시 양천구 남부순환로65길 12-2 (신월동),37.5507247,126.9754915
가브리엘의집,C1921,(장애인) 중증장애인거주시설,장애인거주시설,서울특별시 용산구 후암로35길 22-23(후암동),37.644436,127.0733938
동천일리하우스,C1930,(장애인) 중증장애인거주시설,장애인거주시설,서울특별시 노원구 노원로18길 41(하계1동),37.5732924,126.8374995
우리집,C1993,(장애인) 장애인단기거주시설,장애인거주시설,서울특별시 강서구 양천로47길 70-6,37.5352948,126.8567509
나눔공동체,C2033,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 강서구 등촌로13바길 59,37.5485838,126.852913
선린원,C2034,(장애인) 장애인단기거주시설,장애인거주시설,서울특별시 강서구 까치산로22길 35-5,37.5641316,126.9033115
잔디네집,C2042,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 마포구 월드컵로 190-0604호 (이안상암2차오피스텔),37.5390067,126.8493891
푸른터,C2043,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 강서구 초록마을로26길 35-8,37.5408185,126.8335727
푸른터2호,C2044,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 강서구 화곡로13길 20-9201호,37.5685033,126.8511983
푸른터3호,C2045,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 강서구 허준로5길 37B동 3층 (가양동)(가양동),37.5741667,126.8125535
강서뇌성마비복지관,C2047,(장애인) 장애인복지관,장애인지역사회재활시설,서울특별시 강서구 방화대로 45길 69(방화동 452-5)  ,37.5685033,126.8511983
그라나다보호작업센터,C2050,(장애인) 장애인보호작업장,장애인직업재활시설,서울특별시 강서구 허준로5길 37 (가양동),37.543302,126.8414766
강서희망의집,C2057,(장애인) 장애인단기거주시설,장애인거주시설,서울특별시 강서구 강서로34길 36,37.5703368,126.8054585
주간보호센터햇볕교실,C2058,(장애인) 장애인주간보호시설,장애인지역사회재활시설,서울특별시 강서구 개화동로21길 4 (방화동 방화11단지아파트),37.5691778,126.8489398
기쁜우리보호작업장,C2059,(장애인) 장애인보호작업장,장애인직업재활시설,서울특별시 강서구 허준로 65 (가양동),37.5668657,126.8413718
강서구휴먼희망일터,C2066,(장애인) 장애인보호작업장,장애인직업재활시설,서울특별시 강서구 강서로 466우리벤처타운 102호 (등촌동),37.6572893,127.0631406
다복스위트홈,C2068,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 노원구 상계로5길 22-9402호,37.5090958,127.1252345
마라제4공동생활가정,C2069,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 송파구 마천로39길 35401호,37.4925063,126.8913292
양지골장애인주간보호시설,C2072,(장애인) 장애인주간보호시설,장애인지역사회재활시설,서울특별시 구로구 구로중앙로28길 625층(구로동),37.5237608,126.8935345
리드릭,C2073,(장애인) 장애인보호작업장,장애인직업재활시설,서울특별시 영등포구 양산로 96양산로 96 산경물산(당산동2가),37.5742419,126.8899001
마포구립장애인직업재활센터(수아밀),C2074,(장애인) 장애인보호작업장,장애인직업재활시설,서울특별시 마포구 매봉산로 18(상암동 1640번지),37.4869823,127.1069593
강남세움주간보호센터,C2078,(장애인) 장애인주간보호시설,장애인지역사회재활시설,서울특별시 강남구광평로60길 22(수서동),37.5492671,126.8514653
파랑새교육원주간보호,C2083,(장애인) 장애인주간보호시설,장애인지역사회재활시설,서울특별시 강서구 까치산로 134화곡빌딩 2층,37.5385144,126.8511991
화곡성모공동생활가정,C2087,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 강서구 초록마을로24길 7-8B동 502호 (화곡동 태영팰리스),37.4919459,127.0734546
강남장애인복지관,C2092,(장애인) 장애인복지관,장애인지역사회재활시설,서울특별시 강남구 개포로 605  ,37.4968092,126.8849632
헬렌의집장애인단기보호시설,C2096,(장애인) 장애인단기거주시설,장애인거주시설,서울특별시 구로구 구로중앙로27나길 18,37.5385144,126.8511991
로사리아공동생활가정,C2098,(장애인) 장애인공동생활가정,장애인거주시설,서울특별시 강서구 초록마을로24길 7-8B동 202호 (화곡동 태영팰리스),37.5732924,126.8374995
우리집주간보호,C2101,(장애인) 장애인주간보호시설,장애인지역사회재활시설,서울특별시 강서구 양천로47길 70-6,37.6385404,127.012833
꿈손단기거주시설,C2102,(장애인) 장애인단기거주시설,장애인거주시설,서울특별시 강북구 인수봉로61길12-4,37.4742398,126.8965588
금천구수어통역센터,C2105,(장애인) 수어통역센터,장애인지역사회재활시설,서울특별시 금천구 시흥대로147길 30-152층,37.5587393,126.9867567
