시설명,시설코드,시설종류명(시설유형),시설종류상세명,자치구,위도,경도
늘푸름보호작업장,C8328,(장애인) 장애인보호작업장,장애인직업재활시설,구로구,37.511622,126.850381
희망일굼터,C8367,(장애인) 장애인보호작업장,장애인직업재활시설,양천구,37.5745006,126.8137365
강서뇌성마비 주간보호,C8368,(장애인) 장애인주간보호시설,장애인지역사회재활시설,강서구,37.6792447,127.0569031
내일을꿈꾸는사람들2호,C8377,(장애인) 장애인공동생활가정,장애인거주시설,노원구,37.6695157,127.0474327
중증장애인다수고용사업장굿윌스토어밀알도봉점,C8381,(장애인) 장애인근로사업장,장애인직업재활시설,도봉구,37.5558027,126.9421554
우리마포재활치료센터,C8392,(장애인) 장애인재활치료시설,장애인지역사회재활시설,마포구,37.565063,127.022792
서울특별시중구장애인복지관,C8398,(장애인) 장애인복지관,장애인지역사회재활시설,중구,37.4570918,126.8869474
금천구립장애인보호작업장,C8400,(장애인) 장애인보호작업장,장애인직업재활시설,금천구,37.6366364,127.0149645
너나울공동생활가정,C8401,(장애인) 장애인공동생활가정,장애인거주시설,강북구,37.6409939,127.023611
참사랑너나울주간보호센터,C8402,(장애인) 장애인주간보호시설,장애인지역사회재활시설,강북구,37.570627,127.0706515
동문엔터프라이즈,C8404,(장애인) 장애인보호작업장,장애인직업재활시설,동대문구,37.5441597,126.8419251
강서구희망센터,C8410,(장애인) 장애인보호작업장,장애인직업재활시설,강서구,37.5781438,126.9101543
서대문구수어통역센터,C8419,(장애인) 수어통역센터,장애인지역사회재활시설,서대문구,37.5862851,126.8116933
늘푸른집,C8420,(장애인) 장애인단기거주시설,장애인거주시설,강서구,37.4925076,127.0751123
하상점자도서관,C8423,(장애인) 장애인복지관,장애인지역사회재활시설,강남구,37.5242332,127.0265141
광림주간보호센터,C8430,(장애인) 장애인주간보호시설,장애인지역사회재활시설,강남구,37.5909848,126.8852196
빛나눔보호작업장,C8435,(장애인) 장애인보호작업장,장애인직업재활시설,은평구,37.5587393,126.9867567
남산골주간보호센터,C8447,(장애인) 장애인주간보호시설,장애인지역사회재활시설,중구,37.5951491,126.9490259
영광 시각장애인 모바일 점자도서관,C8462,(장애인) 점자도서관,장애인지역사회재활시설,서대문구,37.6287227,127.0390729
강북장애인종합복지관주간보호시설,C8480,(장애인) 장애인주간보호시설,장애인지역사회재활시설,강북구,37.4887902,127.1035661
밀알그린보호작업장,C8482,(장애인) 장애인보호작업장,장애인직업재활시설,강남구,37.48878822,127.1036193
강남 행복의집,C8539,(장애인) 장애인공동생활가정,장애인거주시설,강남구,37.5483541,127.1431037
강동행복의집,C8541,(장애인) 장애인공동생활가정,장애인거주시설,강동구,37.6861603,127.0479871
도봉단기보호시설,C8542,(장애인) 장애인단기거주시설,장애인거주시설,도봉구,37.6564138,127.0389888
그린도봉주간보호센터,C8551,(장애인) 장애인주간보호시설,장애인지역사회재활시설,도봉구,37.6650404,127.0393336
베데스다의집함께하네,C8558,(장애인) 장애인공동생활가정,장애인거주시설,도봉구,37.5465885,127.1441673
해피죤아동발달지원센터,C8563,(장애인) 장애인재활치료시설,장애인지역사회재활시설,강동구,37.5243999,127.0313167
소망그룹홈4,C8572,(장애인) 장애인공동생활가정,장애인거주시설,강남구,37.5243999,127.0313167
소망그룹홈3,C8573,(장애인) 장애인공동생활가정,장애인거주시설,강남구,37.5240417,127.0310543
소망그룹홈2,C8574,(장애인) 장애인공동생활가정,장애인거주시설,강남구,37.5365815,126.9460477
루치아 공동생활가정,C8585,(장애인) 장애인공동생활가정,장애인거주시설,마포구,37.5195134,126.8442756
맑은샘장애인단기거주시설,C8620,(장애인) 장애인단기거주시설,장애인거주시설,양천구,37.5649307,126.810622
여호와닛시의집,C8627,(장애인) 장애인공동생활가정,장애인거주시설,강서구,37.5010097,127.134043
서울곰두리체육센터,C8632,(장애인) 장애인체육시설,장애인지역사회재활시설,송파구,37.4929263,126.8239788
버들그룹홈,C8639,(장애인) 장애인공동생활가정,장애인거주시설,구로구,37.4929263,126.8239788
느티나무그룹홈,C8640,(장애인) 장애인공동생활가정,장애인거주시설,구로구,37.5862851,126.8116933
H2빌,C8644,(장애인) 중증장애인거주시설,장애인거주시설,강서구,37.5049809,126.9425947
서울시각장애인생활이동지원센터,C8664,(장애인) 장애인생활이동지원센터,장애인지역사회재활시설,동작구,37.5430809,127.0595959
공감보호작업장,C8676,(장애인) 장애인보호작업장,장애인직업재활시설,성동구,37.6048924,127.0463706
행복플러스보호작업장,C8688,(장애인) 장애인보호작업장,장애인직업재활시설,성북구,37.6090383,127.0310219
행복플러스 단기보호시설,C8689,(장애인) 장애인단기거주시설,장애인거주시설,성북구,37.5016568,127.0841196
비움,C8692,(장애인) 장애인공동생활가정,장애인거주시설,송파구,37.577544,126.9342695
장애인내일키움직업교육센터,C8696,(장애인) 장애인보호작업장,장애인직업재활시설,서대문구,37.521044,126.9030081
라피드보호작업장,C8708,(장애인) 장애인보호작업장,장애인직업재활시설,영등포구,37.4967581,126.8440292
하늘아래주간보호시설,C8710,(장애인) 장애인주간보호시설,장애인지역사회재활시설,구로구,37.5525546,127.0063374
하늘마음,C8713,(장애인) 장애인공동생활가정,장애인거주시설,중구,37.4929263,126.8239788
오뚜기하우스,C8717,(장애인) 장애인공동생활가정,장애인거주시설,구로구,37.5481125,126.85254
교남발달지원센터,C8720,(장애인) 장애인재활치료시설,장애인지역사회재활시설,강서구,37.6691424,127.0322405
동천하우스7,C8729,(장애인) 장애인공동생활가정,장애인거주시설,도봉구,37.6691424,127.0322405
동천하우스8,C8730,(장애인) 장애인공동생활가정,장애인거주시설,도봉구,37.5382213,127.1425623
소망드림복지센터,C8742,(장애인) 장애인보호작업장,장애인직업재활시설,강동구,37.51501,127.0319618
서울영동주간보호센터,C8758,(장애인) 장애인주간보호시설,장애인지역사회재활시설,강남구,37.4804875,126.9440717
꿈터2장애인주간보호센터,C8769,(장애인) 장애인주간보호시설,장애인지역사회재활시설,관악구,37.5242332,127.0265141
예수와주간보호센터,C8774,(장애인) 장애인주간보호시설,장애인지역사회재활시설,강남구,37.5492671,126.8514653
행복을파는장사꾼,C8782,(장애인) 장애인보호작업장,장애인직업재활시설,강서구,37.470327,127.1193059
성모자애단기거주시설미리암의집,C8806,(장애인) 장애인단기거주시설,장애인거주시설,강남구,37.5533839,127.0845407
희망하우스,C8814,(장애인) 장애인주간보호시설,장애인지역사회재활시설,광진구,37.6404335,127.0231144
참사랑 너나울 주간보호센터 2호,C8837,(장애인) 장애인주간보호시설,장애인지역사회재활시설,강북구,37.5602606,127.0920027
(주)의학신문사부설 아이맘인지발달연구소,C8848,(장애인) 장애인재활치료시설,장애인지역사회재활시설,광진구,37.6455267,127.0141955
예수성심우리엄마네,C8863,(장애인) 장애인공동생활가정,장애인거주시설,강북구,37.4710199,127.0460212
다니엘의집5호,C8867,(장애인) 장애인공동생활가정,장애인거주시설,서초구,37.511372,127.0277614
논현제3공동생활가정,C8875,(장애인) 장애인공동생활가정,장애인거주시설,강남구,37.5937725,126.9336757
최종병기공동생활가정,C8904,(장애인) 장애인공동생활가정,장애인거주시설,서대문구,37.4989949,127.1598677
위투게더,C8907,(장애인) 장애인단기거주시설,장애인거주시설,송파구,37.5761079,127.0729539
꿈드래장애인일자리센터,C8920,(장애인) 장애인보호작업장,장애인직업재활시설,동대문구,37.5841516,126.8808497
푸르메재단넥슨어린이재활병원,C8926,(장애인) 장애인의료재활시설,장애인의료재활시설,마포구,37.5844507,126.8805679
푸르메스포츠센터,C8929,(장애인) 장애인체육시설,장애인지역사회재활시설,마포구,37.5697271,126.9029931
마포푸르메직업재활센터,C8930,(장애인) 장애인보호작업장,장애인직업재활시설,마포구,37.4916548,127.0875755
래그랜느보호작업장,C8933,(장애인) 장애인보호작업장,장애인직업재활시설,강남구,37.5531968,126.8298352
휴샘아동가족발달센터,C8935,(장애인) 장애인재활치료시설,장애인지역사회재활시설,강서구,37.5709309,127.0302499
구립동대문장애인종합복지관,C8937,(장애인) 장애인복지관,장애인지역사회재활시설,동대문구,37.5240417,127.0310543
소망그룹홈1,C8939,(장애인) 장애인공동생활가정,장애인거주시설,강남구,37.5475938,127.0899054
sim 발달지원센터,C8945,(장애인) 장애인재활치료시설,장애인지역사회재활시설,광진구,37.5034227,126.8432513
하이드림,C8948,(장애인) 장애인공동생활가정,장애인거주시설,구로구,37.5025893,127.1448021
행복단기보호시설,C8951,(장애인) 장애인단기거주시설,장애인거주시설,송파구,37.4996569,127.1476222
행복 보호작업장,C8952,(장애인) 장애인보호작업장,장애인직업재활시설,송파구,37.469824,126.89589
SG블루웰,C8980,(장애인) 장애인보호작업장,장애인직업재활시설,금천구,37.4657122,126.8883978
소울터보호작업장,C8991,(장애인) 장애인보호작업장,장애인직업재활시설,금천구,37.5405021,126.8518521
교남공동생활가정2호,C9000,(장애인) 장애인공동생활가정,장애인거주시설,강서구,37.5193571,127.0993659
하사랑주간보호,C9053,(장애인) 장애인주간보호시설,장애인지역사회재활시설,송파구,37.4820051,127.0250418
한우리보호작업장,C9088,(장애인) 장애인보호작업장,장애인직업재활시설,서초구,37.5998575,126.9484829
늘품 장애인 보호작업장,C9089,(장애인) 장애인보호작업장,장애인직업재활시설,서대문구,37.4916519,127.1482492
행복한사랑,C9092,(장애인) 장애인주간보호시설,장애인지역사회재활시설,송파구,37.242397,127.7394748
다산하늘센터,C9096,(장애인) 중증장애인거주시설,장애인거주시설,여주시,37.486959,127.1069513
강남세움단기보호센터,C9101,(장애인) 장애인단기거주시설,장애인거주시설,강남구,37.477376,126.9618524
관악구장애인종합복지관,C9126,(장애인) 장애인복지관,장애인지역사회재활시설,관악구,37.6279711,127.0162909
효정1호효정2호 공동생활가정,C9136,(장애인) 장애인공동생활가정,장애인거주시설,강북구,37.5398179,127.0829323
동그라미 움직임 발달센터,C9152,(장애인) 장애인재활치료시설,장애인지역사회재활시설,광진구,37.5454251,127.0469231
성동재활의원,C9153,(장애인) 장애인의료재활시설,장애인의료재활시설,성동구,37.4603732,127.0921844
다니엘치료센터,C9159,(장애인) 장애인재활치료시설,장애인지역사회재활시설,서초구,37.9196301,127.493194
루디아의집,C9167,(장애인) 장애유형별거주시설,장애인거주시설,가평군,37.6692286,127.0475929
도봉장애인종합복지관,C9180,(장애인) 장애인복지관,장애인지역사회재활시설,도봉구,37.5291608,126.8398682
행복이가득한집 2호,C9181,(장애인) 장애인공동생활가정,장애인거주시설,강서구,37.5666435,126.8411773
참행복한세상,C9187,(장애인) 장애인보호작업장,장애인직업재활시설,강서구,37.6363779,127.0776294
베데스다직업적응훈련시설,C9190,(장애인) 장애인직업적응훈련시설,장애인직업재활시설,노원구,37.6421978,127.0261734
참사랑공동생활가정,C9195,(장애인) 장애인공동생활가정,장애인거주시설,강북구,37.6428883,127.0737358
하계장애인주간활동센터,C9214,(장애인) 장애인주간보호시설,장애인지역사회재활시설,노원구,37.4898905,127.1427859
송파구장애인직업재활지원센터,C9247,(장애인) 장애인직업적응훈련시설,장애인직업재활시설,송파구,37.5598173,126.966814
구립중림장애인주간보호센터,C9252,(장애인) 장애인주간보호시설,장애인지역사회재활시설,중구,37.476456,126.9712151
사랑단기보호센터,C9265,(장애인) 장애인단기거주시설,장애인거주시설,동작구,37.567361,127.0688876
더원직업훈련센터,C9266,(장애인) 장애인직업적응훈련시설,장애인직업재활시설,동대문구,37.5077957,127.13345
행복주간보호센터,C9269,(장애인) 장애인주간보호시설,장애인지역사회재활시설,송파구,37.4917326,127.1481929
해피하우스,C9277,(장애인) 장애인단기거주시설,장애인거주시설,송파구,37.530958,127.1281529
동안우리주간보호센터,C9279,(장애인) 장애인주간보호시설,장애인지역사회재활시설,강동구,37.6363909,127.0157801
헬렌켈러의집 2호,C9280,(장애인) 장애인공동생활가정,장애인거주시설,강북구,37.5354581,127.1373993
라파아동발달센터,C9309,(장애인) 장애인재활치료시설,장애인지역사회재활시설,강동구,37.5658595,127.1735373
아이사랑아동청소년발달센터,C9311,(장애인) 장애인재활치료시설,장애인지역사회재활시설,강동구,37.5617645,127.1676861
홀트강동복지관,C9322,(장애인) 장애인복지관,장애인지역사회재활시설,강동구,37.5289155,127.1217357
직업재능개발센터,C9325,(장애인) 장애인직업적응훈련시설,장애인직업재활시설,강동구,37.4803029,126.9955448
성민드림주간보호센터,C9331,(장애인) 장애인주간보호시설,장애인지역사회재활시설,서초구,37.4769347,126.8824557
한결엠보호작업장,C9337,(장애인) 장애인보호작업장,장애인직업재활시설,금천구,37.4940029,127.1437725
우리그룹홈,C9345,(장애인) 장애인공동생활가정,장애인거주시설,송파구,37.4824724,126.894424
블루나래,C9357,(장애인) 장애인보호작업장,장애인직업재활시설,구로구,37.5908669,126.9479538
영광시각장애인주간보호센터,C9359,(장애인) 장애인주간보호시설,장애인지역사회재활시설,서대문구,37.4872752,127.1251498
두손장애인보호작업장,C9360,(장애인) 장애인보호작업장,장애인직업재활시설,송파구,37.4830713,126.8929802
모두누리 직업재활센터,C9387,(장애인) 장애인보호작업장,장애인직업재활시설,구로구,37.4590466,126.9007496
기쁨나무,C9388,(장애인) 장애인보호작업장,장애인직업재활시설,금천구,37.5617645,127.1676861
홀트주간보호센터,C9392,(장애인) 장애인주간보호시설,장애인지역사회재활시설,강동구,37.5300435,126.8560028
주은공동생활가정,C9405,(장애인) 장애인공동생활가정,장애인거주시설,강서구,37.5004027,126.85438
은하수,C9412,(장애인) 장애인공동생활가정,장애인거주시설,구로구,37.6970517,127.1770439
서울특별시립장애인영농직업재활시설,C9434,(장애인) 장애인보호작업장,장애인직업재활시설,남양주시,37.4821199,126.9303178
관악밀알주간보호센터,C9445,(장애인) 장애인주간보호시설,장애인지역사회재활시설,관악구,37.6622115,127.0112479
행복한 사람들의 집,C9452,(장애인) 장애인공동생활가정,장애인거주시설,강북구,37.6372873,127.0296864
이음주간교육센터,C9462,(장애인) 장애인주간보호시설,장애인지역사회재활시설,강북구,37.4869823,127.1069593
강남세움보호작업장,C9499,(장애인) 장애인보호작업장,장애인직업재활시설,강남구,37.6595599,127.0691688
킨더윌언어심리전문센터,C9503,(장애인) 장애인재활치료시설,장애인지역사회재활시설,노원구,37.5413651,127.0488867
두빛나래보호작업장,C9506,(장애인) 장애인보호작업장,장애인직업재활시설,성동구,37.5305073,126.9243356
꿈친장애인주간보호센터,C9511,(장애인) 장애인주간보호시설,장애인지역사회재활시설,영등포구,37.4869823,127.1069593
강남세움복지관,C9513,(장애인) 장애인복지관,장애인지역사회재활시설,강남구,37.5218232,126.8434876
해피드림,C9516,(장애인) 장애인공동생활가정,장애인거주시설,양천구,37.6357061,127.0746828
선한이웃 재활운동발달센터,C9546,(장애인) 장애인재활치료시설,장애인지역사회재활시설,노원구,37.4620102,126.9042465
주사랑 장애인단기보호센터,C9562,(장애인) 장애인단기거주시설,장애인거주시설,금천구,37.4869823,127.1069593
강남세움근로사업장 굿윌스토어,C9567,(장애인) 장애인근로사업장,장애인직업재활시설,강남구,37.486959,127.1069513
강남세움 직업훈련센터,C9571,(장애인) 장애인직업적응훈련시설,장애인직업재활시설,강남구,37.622143,127.0863716
담쟁이그룹홈,C9578,(장애인) 장애인공동생활가정,장애인거주시설,노원구,37.491823,126.9825127
사랑손직업적응훈련시설,C9595,(장애인) 장애인직업적응훈련시설,장애인직업재활시설,동작구,37.4594062,126.9009523
기쁨이꽃피는나무,C9596,(장애인) 장애인공동생활가정,장애인거주시설,금천구,37.5043018,126.8751353
아해하제공동생활가정,C9604,(장애인) 장애인공동생활가정,장애인거주시설,강남구,37.6047483,126.9264612
은평구립우리장애인복지관,C9652,(장애인) 장애인복지관,장애인지역사회재활시설,은평구,37.5638409,126.9925793
누보,C9653,(장애인) 장애인보호작업장,장애인직업재활시설,중구,37.4405439,126.9025176
금천발달장애인주간보호센터,C9657,(장애인) 장애인주간보호시설,장애인지역사회재활시설,금천구,37.5920799,127.0931562
소담,C9684,(장애인) 장애인보호작업장,장애인직업재활시설,중랑구,37.5741667,126.8125535
40플러스 금곡행복쉼터 주간보호센터,C9711,(장애인) 장애인주간보호시설,장애인지역사회재활시설,강서구,37.4749114,126.8868013
사람희망 금천장애인자립생활센터,F04194,(장애인) 중증장애인자립생활지원센터,장애인기타,금천구,37.5266497,126.9164767
해오름장애인자립생활센터,F04195,(장애인) 중증장애인자립생활지원센터,장애인기타,영등포구,37.5319542,126.893701
이음장애인자립생활센터,F04196,(장애인) 중증장애인자립생활지원센터,장애인기타,영등포구,37.5269524,126.8919341
선한이웃재활운동발달센터,F04401,(장애인) 장애인재활치료시설,장애인지역사회재활시설,노원구,37.6595599,127.0691688
킨더윌언어심리전문센터,F04402,(장애인) 장애인재활치료시설,장애인지역사회재활시설,노원구,37.500294,126.8543183
은하수,F04559,(장애인) 장애인공동생활가정,장애인거주시설,구로구,37.5499712,127.1302458
장애인자립생활주택(가형)-강동장애인자립생활센터,F04607,(장애인) 중증장애인자립생활지원센터,장애인기타,강동구,37.5462183,127.1680167
장애인자립생활주택(다형) 해뜨는양지,F04608,(장애인) 중증장애인자립생활지원센터,장애인기타,강동구,37.5460113,127.1229678
장애인자립생활주택(가형)-해뜨는양지,F04609,(장애인) 중증장애인자립생활지원센터,장애인기타,강동구,37.5545091,126.9487436
염리종합사회복지관 내 주간보호센터,F04656,(장애인) 장애인주간보호시설,장애인지역사회재활시설,마포구,37.5292385,126.8399579
행복이가득한집2호,F04657,(장애인) 장애인공동생활가정,장애인거주시설,강서구,37.5909072,127.0937704
소담,F04665,(장애인) 장애인보호작업장,장애인직업재활시설,중랑구,37.6053132,127.0987716
사랑의집,F04666,(장애인) 장애인공동생활가정,장애인거주시설,중랑구,37.5468224,126.9500658
공덕동행복주택 내 장애인주간보호센터,F04759,(장애인) 장애인주간보호시설,장애인지역사회재활시설,마포구,37.4854641,126.9953355
국가복지정보 장애인시설,P9003,(장애인) 장애유형별거주시설,장애인거주시설,서초구,37.6051391,126.9075414
누야하우스,Z0164,(장애인) 장애인보호작업장,장애인직업재활시설,은평구,37.4968801,127.0560936
서울시그룹홈지원센터,Z5561,(장애인) (기타)장애인복지시설,장애인기타,강남구,37.5135003,126.9170497
꿈더하기지원센터,Z5943,(장애인) (기타)장애인복지시설,장애인기타,영등포구,37.6183087,126.9390451
은평발달장애인평생교육센터,Z6123,(장애인) (기타)장애인복지시설,장애인기타,은평구,37.4879855,127.1017774
강남장애인가족지원센터,Z6164,(장애인) 장애인자립지원센터,장애인기타,강남구,37.4964604,127.0320158
양천구발달장애인평생교육센터,Z6188,(장애인) 중증장애인자립생활지원센터,장애인기타,양천구,37.5783342,126.9283021
서대문 발달장애인평생교육센터,Z6205,(장애인) (기타)장애인복지시설,장애인기타,서대문구,37.4869823,127.1069593
강남세움 발달장애인 평생교육센터,Z6223,(장애인) (기타)장애인복지시설,장애인기타,강남구,37.6638302,127.076596
노원발달장애인평생교육센터,Z6232,(장애인) (기타)장애인복지시설,장애인기타,노원구,37.5951491,126.9490259
서대문장애인가족지원센터,Z6246,(장애인) (기타)장애인복지시설,장애인기타,서대문구,37.5204524,126.9910848
용산구장애인가족지원센터,Z6291,(장애인) (기타)장애인복지시설,장애인기타,용산구,37.5706753,126.9889587
종로발달장애인평생교육센터,Z6295,(장애인) (기타)장애인복지시설,장애인기타,종로구,37.5217473,126.899285
영등포구 발달장애인평생교육센터,Z6300,(장애인) (기타)장애인복지시설,장애인기타,영등포구,37.5002878,127.0391661
미미위역삼 발달장애인평생교육센터,Z6325,(장애인) (기타)장애인복지시설,장애인기타,강남구,37.5005176,127.0391339
