시설명,시설코드,시설종류명(시설유형),시설종류상세명,자치구,위도,경도
송파인성장애인복지관,C0688,(장애인) 장애인복지관,장애인지역사회재활시설,송파구,37.4998084,127.0239881
사랑의복지관,C0689,(장애인) 장애인복지관,장애인지역사회재활시설,서초구,37.6045777,127.0457846
성북장애인복지관,C0700,(장애인) 장애인복지관,장애인지역사회재활시설,성북구,37.6280504,127.0157156
한빛맹아원,C0739,(장애인) 장애유형별거주시설,장애인거주시설,강북구,37.4352349,126.9064065
하누리주간보호센터,C0740,(장애인) 장애인주간보호시설,장애인지역사회재활시설,금천구,37.6363909,127.0157801
헬렌켈러의집단기거주시설,C0741,(장애인) 장애인단기거주시설,장애인거주시설,강북구,37.6317707,127.0217754
헬렌켈러의집주간보호,C0743,(장애인) 장애인주간보호시설,장애인지역사회재활시설,강북구,37.4603732,127.0921844
다니엘사랑이용센터,C0744,(장애인) 장애인주간보호시설,장애인지역사회재활시설,서초구,37.5111601,127.0171551
다니엘의집3호,C0745,(장애인) 장애인공동생활가정,장애인거주시설,서초구,37.5736003,126.9227651
다솜장애인공동생활가정,C0746,(장애인) 장애인공동생활가정,장애인거주시설,서대문구,37.5913314,126.9348497
아이티장애인공동생활가정,C0747,(장애인) 장애인공동생활가정,장애인거주시설,서대문구,37.5772949,126.9276712
다솜장애인주간보호센터,C0748,(장애인) 장애인주간보호시설,장애인지역사회재활시설,서대문구,37.5169838,126.8765399
신목장애인주간보호시설,C0750,(장애인) 장애인주간보호시설,장애인지역사회재활시설,양천구,37.6333548,127.0162541
디딤자리,C0754,(장애인) 장애영유아거주시설,장애인거주시설,강북구,37.5613094,127.1546484
너울자리,C0756,(장애인) 장애인공동생활가정,장애인거주시설,강동구,37.5613094,127.1546484
보금자리,C0757,(장애인) 장애인공동생활가정,장애인거주시설,강동구,37.5613094,127.1546484
하늘자리공동생활가정,C0758,(장애인) 장애인공동생활가정,장애인거주시설,강동구,37.6819038,127.0431986
주바라기해피홈,C0770,(장애인) 장애인주간보호시설,장애인지역사회재활시설,도봉구,37.6739388,127.05068
동천하우스1,C0778,(장애인) 장애인공동생활가정,장애인거주시설,노원구,37.6508762,127.0618329
동천하우스2,C0779,(장애인) 장애인공동생활가정,장애인거주시설,노원구,37.6304778,127.0901988
해맑음보호작업시설,C0783,(장애인) 장애인보호작업장,장애인직업재활시설,노원구,37.6413321,127.0296568
강북구수어통역센터,C0793,(장애인) 수어통역센터,장애인지역사회재활시설,강북구,37.6262044,127.0719956
사랑의집 공동생활가정,C0794,(장애인) 장애인공동생활가정,장애인거주시설,노원구,37.6262792,127.0714309
그루터기공동생활가정,C0795,(장애인) 장애인공동생활가정,장애인거주시설,노원구,37.4786585,126.9435529
관악구수어통역센터,C0798,(장애인) 수어통역센터,장애인지역사회재활시설,관악구,37.657013,127.0462042
도봉구수어통역센터,C0799,(장애인) 수어통역센터,장애인지역사회재활시설,도봉구,37.6519919,127.0332904
동천하우스4,C0801,(장애인) 장애인공동생활가정,장애인거주시설,도봉구,37.6734529,127.0414802
동천하우스3,C0802,(장애인) 장애인공동생활가정,장애인거주시설,도봉구,37.5606488,126.9616867
서울특별시수어통역센터지원본부,C0808,(장애인) 수어통역센터,장애인지역사회재활시설,서대문구,37.6945202,127.0421215
인강원,C0812,(장애인) 장애유형별거주시설,장애인거주시설,도봉구,37.6663996,127.0697408
가브리엘작업장,C0833,(장애인) 장애인보호작업장,장애인직업재활시설,노원구,37.6663996,127.0697408
가브리엘주간보호센터,C0835,(장애인) 장애인주간보호시설,장애인지역사회재활시설,노원구,37.5742104,127.001139
더해봄(종로구립장애인근로사업장),C0858,(장애인) 장애인근로사업장,장애인직업재활시설,종로구,37.644436,127.0733938
발달장애인단기거주시설 동천휴,C0907,(장애인) 장애인단기거주시설,장애인거주시설,노원구,37.644436,127.0733938
동천발달장애인주간활동센터,C0908,(장애인) 장애인주간보호시설,장애인지역사회재활시설,노원구,37.6423321,127.0566646
섬김주간보호센터,C0913,(장애인) 장애인주간보호시설,장애인지역사회재활시설,노원구,37.642332,127.0566646
북부장애인직업재활시설,C0939,(장애인) 장애인보호작업장,장애인직업재활시설,노원구,37.6804647,127.0568157
대린직업훈련원,C0950,(장애인) 장애인직업적응훈련시설,장애인직업재활시설,노원구,37.6074652,126.9094959
위드주간보호센터,C0975,(장애인) 장애인주간보호시설,장애인지역사회재활시설,은평구,37.6079312,126.9082467
시온공동생활가정,C0982,(장애인) 장애인공동생활가정,장애인거주시설,은평구,37.5953909,126.9115881
은평공동생활가정,C0985,(장애인) 장애인공동생활가정,장애인거주시설,은평구,37.4903793,126.9304658
꽃새암,C1014,(장애인) 장애인공동생활가정,장애인거주시설,관악구,37.4901546,126.9419474
꽃가람,C1016,(장애인) 장애인공동생활가정,장애인거주시설,관악구,37.5248217,127.1309508
소망그룹홈,C1035,(장애인) 장애인공동생활가정,장애인거주시설,강동구,37.497709,127.1463451
동안제일복지센터,C1036,(장애인) 장애인보호작업장,장애인직업재활시설,송파구,37.5320746,127.1383693
강동그룹홈,C1040,(장애인) 장애인공동생활가정,장애인거주시설,강동구,37.5317415,127.1139363
송파그룹홈,C1042,(장애인) 장애인공동생활가정,장애인거주시설,송파구,37.5305788,127.1316457
동안우리복지센터,C1043,(장애인) 장애인보호작업장,장애인직업재활시설,강동구,37.7379171,126.6928372
사회복지법인 에덴복지재단 에덴하우스,C1044,(장애인) 장애인근로사업장,장애인직업재활시설,파주시,37.5465885,127.1441673
해피죤,C1071,(장애인) 장애인주간보호시설,장애인지역사회재활시설,강동구,37.5843169,126.9076398
바오로교실주간보호센터,C1077,(장애인) 장애인주간보호시설,장애인지역사회재활시설,은평구,37.5843169,126.9076398
바오로교실보호작업장,C1078,(장애인) 장애인보호작업장,장애인직업재활시설,은평구,37.5494256,126.8515443
열림일터,C1081,(장애인) 장애인보호작업장,장애인직업재활시설,강서구,37.6287149,127.0581509
아람마을,C1090,(장애인) 장애인보호작업장,장애인직업재활시설,노원구,37.6052807,126.927005
은평구립직업재활센터,C1110,(장애인) 장애인보호작업장,장애인직업재활시설,은평구,37.6233027,126.9261241
불광작은예수의집,C1111,(장애인) 장애인단기거주시설,장애인거주시설,은평구,37.5932534,127.0170041
성북구수어통역센터,C1132,(장애인) 수어통역센터,장애인지역사회재활시설,성북구,37.5431512,127.1344386
아이비주간보호시설,C1143,(장애인) 장애인주간보호시설,장애인지역사회재활시설,강동구,37.545639,127.1319718
