자치구,동,계,위도,경도
동대문구,전농1동,529,37.578451,127.0576841
동대문구,전농2동,336,37.5720638,127.0594611
동대문구,답십리2동,512,37.5677585,127.0663775
동대문구,장안1동,599,37.5783962,127.0705438
동대문구,장안2동,501,37.594477,127.0565167
동대문구,이문1동,273,37.6032541,127.0650987
동대문구,이문2동,352,37.5716467,127.0515179
동대문구,답십리1동,390,37.6062092,127.0927453
중랑구,면목2동,428,37.574675,127.0855975
중랑구,면목4동,555,37.5857565,127.0795427
중랑구,면목5동,207,37.5788965,127.0867362
중랑구,면목7동,347,37.5998379,127.0871526
중랑구,상봉1동,655,37.5923388,127.0832922
중랑구,상봉2동,268,37.6011436,127.0805692
중랑구,중화1동,308,37.5949493,127.0748759
중랑구,중화2동,522,37.6123362,127.0784581
중랑구,묵1동,494,37.6113617,127.0787546
중랑구,묵2동,299,37.5927,127.0981797
중랑구,망우3동,347,37.6057824,127.0994562
중랑구,신내1동,752,37.6062543,127.0941517
중랑구,신내2동,714,37.5873125,127.0874309
중랑구,면목본동,569,37.582979,127.088014
중랑구,면목3.8동,466,37.6012551,127.1065397
중랑구,망우본동,584,37.5980785,127.0145949
성북구,돈암1동,192,37.5978368,127.0107711
성북구,돈암2동,230,37.5858384,127.0213534
성북구,안암동,245,37.5803121,127.0227704
성북구,보문동,198,37.6013925,127.0166034
성북구,정릉1동,224,37.604475,127.0109379
성북구,정릉2동,339,37.6087243,127.0041325
성북구,정릉3동,265,37.6133078,127.006965
성북구,정릉4동,349,37.6041422,127.0221588
성북구,길음1동,370,37.606614,127.0272973
성북구,길음2동,199,37.610225,127.0374875
성북구,월곡1동,412,37.6025867,127.0394902
성북구,월곡2동,286,37.6139744,127.0436564
성북구,장위1동,378,37.6122528,127.0545994
성북구,장위2동,238,37.6165023,127.0565711
성북구,장위3동,238,37.5909485,127.003439
성북구,성북동,203,37.5939763,127.0105212
성북구,삼선동,323,37.5935604,127.0157427
성북구,동선동,199,37.6001709,127.031602
성북구,종암동,540,37.6084827,127.0609186
성북구,석관동,562,37.6406097,127.0140472
강북구,번1동,318,37.6321391,127.0386284
강북구,번2동,565,37.625834,127.0465718
강북구,번3동,1034,37.6387326,127.0089103
강북구,수유1동,522,37.6446372,127.0198799
강북구,수유2동,429,37.63886,127.0231577
강북구,수유3동,371,37.620695,127.0127143
강북구,삼양동,458,37.6268335,127.0269077
강북구,미아동,394,37.615974,127.0336574
강북구,송중동,476,37.6180845,127.0237133
강북구,송천동,482,37.6166126,127.0174369
강북구,삼각산동,484,37.6479697,127.0118806
강북구,우이동,339,37.6351934,127.0191862
강북구,인수동,646,37.6825072,127.0480747
